Player,Matches,Overs,Runs,Wickets,Econ,SR,Bowling avg
j little,11,38.0,331,13.0,8.710526315789474,17.53846153846154,26.23076923076923
j yadav,20,65.0,436,9.0,6.707692307692308,43.44444444444444,49.66666666666666
jacob david philip oram,14,39.0,336,13.0,8.615384615384615,18.692307692307693,27.846153846153847
jacques henry kallis,89,290.0,2210,74.0,7.620689655172414,23.7027027027027,31.72972972972973
jagadeesha suchith,21,70.0,585,20.0,8.357142857142858,21.0,30.2
jalaj s saxena,1,3.0,27,,9.0,,
james douglas sheahan neesham,13,36.0,328,8.0,9.11111111111111,27.0,42.75
james edward coleman franklin,15,25.0,214,9.0,8.56,17.0,25.0
james edward taylor,5,19.0,152,6.0,8.0,19.5,27.83333333333333
james lee pattinson,10,35.0,311,11.0,8.885714285714286,19.363636363636363,29.181818181818183
james peter faulkner,60,206.0,1741,76.0,8.451456310679612,16.32894736842105,24.32894736842105
james redfern hopes,20,60.0,539,14.0,8.983333333333333,25.714285714285715,40.142857142857146
jaskaran singh,7,17.0,156,6.0,9.176470588235292,18.0,29.0
jason andrew richardson,4,15.0,152,3.0,10.133333333333333,30.0,54.0
jason omar holder,46,165.0,1393,59.0,8.442424242424243,17.033898305084747,25.23728813559322
jason phillip behrendorff,17,61.0,535,22.0,8.770491803278688,16.636363636363637,25.59090909090909
jasprit jasbirsingh bumrah,133,512.0,3573,182.0,6.978515625,17.115384615384617,21.0989010989011
javed syed mohammad,11,32.0,279,10.0,8.71875,19.2,28.6
jaydev dipakbal unadkat,104,355.0,3119,109.0,8.785915492957747,19.55045871559633,29.53211009174312
jc archer,40,157.0,1116,49.0,7.10828025477707,19.51020408163265,24.693877551020407
jean-paul duminy,49,113.0,802,23.0,7.097345132743363,29.47826086956522,36.82608695652174
jesse daniel ryder,16,39.0,297,11.0,7.615384615384615,21.454545454545453,28.545454545454547
joginder sharma,15,42.0,382,13.0,9.095238095238097,21.23076923076923,32.38461538461539
johan botha,34,115.0,781,27.0,6.791304347826087,25.703703703703702,30.296296296296298
johan jacobus van der wath,3,12.0,125,3.0,10.416666666666666,24.0,44.66666666666666
johannes albertus morkel,87,287.0,2247,96.0,7.829268292682927,18.041666666666668,25.09375
jordan peter rae scantlebury-searles,3,7.0,86,2.0,12.285714285714286,21.0,44.5
joseph edward root,1,2.0,14,,7.0,,
joshua ronald hazlewood,27,100.0,789,36.0,7.89,16.805555555555557,23.05555555555556
juan theron,10,36.0,282,13.0,7.833333333333333,17.46153846153846,23.923076923076923
justin michael kemp,5,7.0,51,3.0,7.285714285714286,14.666666666666666,19.33333333333333
jw hastings,3,9.0,63,3.0,7.0,19.33333333333333,22.0
